time,dev_addr,f_cnt,home_network_net_id,forwarder_gateway_id
2023-01-04 00:00:00.047604 UTC,0028550A,24210,0,eui-3436323866005100
2023-01-04 00:00:00.048252 UTC,1111F110,5384,8,eui-00800000a0004e9f
2023-01-04 00:00:00.054113 UTC,00B9F34E,20142,0,tzl-campus-wtp
2023-01-04 00:00:00.056425 UTC,00A84D1D,34813,0,ifremer-doi-gateway
2023-01-04 00:00:00.057385 UTC,005D6004,63690,0,ifremer-doi-gateway
2023-01-04 00:00:00.08251 UTC,01DB0E15,23835,0,eui-3436323866005100
2023-01-04 00:00:00.094724 UTC,1111F110,5384,8,eui-00800000a00061e3
2023-01-04 00:00:00.095379 UTC,00F4EC14,43009,0,ifremer-doi-gateway
2023-01-04 00:00:00.095656 UTC,014E1E95,39332,0,ifremer-doi-gateway
2023-01-04 00:00:00.097234 UTC,10D9A997,1788,8,eui-00800000a00061e1
2023-01-04 00:00:00.109625 UTC,3091FD03,35619,18,ch-zrh-kaeferberg
2023-01-04 00:00:00.111224 UTC,103BE8AE,1936,8,eui-00800000a00061e3
2023-01-04 00:00:00.112314 UTC,103BE8AE,1936,8,eui-00800000a0004e9f
2023-01-04 00:00:00.12097 UTC,104988BF,13860,8,eui-00800000a00061e0
2023-01-04 00:00:00.12349 UTC,104988BF,13860,8,eui-00800000a0004e9f
2023-01-04 00:00:00.132392 UTC,162094,19831,0,uhv3-roundtop-tower
2023-01-04 00:00:00.160936 UTC,0106444E,25987,0,ifremer-doi-gateway
2023-01-04 00:00:00.181466 UTC,10AFA95A,3640,8,eui-00800000a00061e0
2023-01-04 00:00:00.212283 UTC,1014F4EF,462,8,eui-00800000a00061e1
2023-01-04 00:00:00.212752 UTC,00D2D5B3,25793,0,ifremer-doi-gateway
2023-01-04 00:00:00.236063 UTC,10AFA95A,3640,8,eui-00800000a0004e9f
2023-01-04 00:00:00.246056 UTC,260B5A57,6183,13,nuig-new-gateway
2023-01-04 00:00:00.259879 UTC,260B0A50,31057,13,nuig-new-gateway
2023-01-04 00:00:00.267808 UTC,106B8A6D,627,8,eui-00800000a0004e9f
2023-01-04 00:00:00.305691 UTC,011B0ADE,41200,0,ifremer-doi-gateway
2023-01-04 00:00:00.306041 UTC,00E8F365,41201,0,ifremer-doi-gateway
2023-01-04 00:00:00.306349 UTC,01C01E59,25999,0,ifremer-doi-gateway
